Wie won het vaakst de Champions league?Real Madrid,AC Milan, Bayern Munchen,A
Hoeveel Medailles won Nederland op de Winterspelen in Pyeongchang?,19,21,18,A
Welk voetballand won de meeste WK's?,Duitsland,Frankrijk,Brazilie,C
Wat is niet in de middeleeuwen uitgevonden?,Het Kompas,De Windmolen,Het Kanon,A
Op welke leeftijd stierf Napoleon?,41 Jaar,61 Jaar,51 Jaar,C
Hoe heette Parijs vroeger?,Singidunum,Lutetia,Placentia,B
Wat is een bestaand muziekinstrument?Bala,laika,Calleon,Violofier,A
Wie componeerde "De vier jaargetijden"?,Bach,Mozart,Vivaldi,C
Van welke band is de song 'Long blond animal'?,U2,Golden Earring,The Rolling Stones,B
Wat is de hoogste temperatuur ooit gemeten op aarde?,53 graden,61 graden,57 graden,A
Hoe heet het grootste meer van Afrika?,Kyogameer,Victoriameer,Tanganyikameer,B
Hoe heten de periodes in de ijstijd waarin het landijs zich significant uitbreidde?,Gladius,IJsreizen,Glaciaal,C
Welk land was neutraal tijdens WOII?,Nederland,England,Zwitserland,C
In welk land heerst nog communisme?,China,Rusland,Hongarije,A
In welk EU land is de euro geen wettig betaalmiddel?,Vaticaanstad,Kosovo,Monaco,B
Welk bedrijf bracht 1981 de eerste PC op de markt?,Microsoft,Apple,IBM,C
Wat is de Best verkochte game serie?,Super Mario,Pokemon,GTA,A
Wat is de Best verkochte game console?,Nintendo DS,PS2,Gameboy,B
Wat is de grootste economie ter wereld?,Verenigde Staten,China,Rusland,A
Wat is de grootste nuclaire ramp?,Fukushima,Tjsernobyl,de SL-1 reactor,B
Wie is de rijkste persoon van de wereld?,Bill Gates,Warren Buffet,Amancio Ortega,A
